timestamp,road_segment_id,average_speed_kph,day_of_week,hour_of_day
2025-01-01 00:00:00,segment_nh9,82.02,2,0
2025-01-01 00:00:00,segment_gt_road,41.6,2,0
2025-01-01 00:00:00,segment_indirapuram,39.61,2,0
2025-01-01 01:00:00,segment_nh9,75.79,2,1
2025-01-01 01:00:00,segment_gt_road,51.87,2,1
2025-01-01 01:00:00,segment_indirapuram,47.04,2,1
2025-01-01 02:00:00,segment_nh9,75.78,2,2
2025-01-01 02:00:00,segment_gt_road,52.82,2,2
2025-01-01 02:00:00,segment_indirapuram,42.62,2,2
2025-01-01 03:00:00,segment_nh9,85.01,2,3
2025-01-01 03:00:00,segment_gt_road,52.62,2,3
2025-01-01 03:00:00,segment_indirapuram,41.88,2,3
2025-01-01 04:00:00,segment_nh9,72.97,2,4
2025-01-01 04:00:00,segment_gt_road,54.98,2,4
2025-01-01 04:00:00,segment_indirapuram,38.15,2,4
2025-01-01 05:00:00,segment_nh9,89.79,2,5
2025-01-01 05:00:00,segment_gt_road,52.28,2,5
2025-01-01 05:00:00,segment_indirapuram,36.57,2,5
2025-01-01 06:00:00,segment_nh9,87.24,2,6
2025-01-01 06:00:00,segment_gt_road,53.91,2,6
2025-01-01 06:00:00,segment_indirapuram,38.22,2,6
2025-01-01 07:00:00,segment_nh9,27.79,2,7
2025-01-01 07:00:00,segment_gt_road,17.77,2,7
2025-01-01 07:00:00,segment_indirapuram,9.75,2,7
2025-01-01 08:00:00,segment_nh9,27.3,2,8
2025-01-01 08:00:00,segment_gt_road,15.68,2,8
2025-01-01 08:00:00,segment_indirapuram,9.9,2,8
2025-01-01 09:00:00,segment_nh9,28.46,2,9
2025-01-01 09:00:00,segment_gt_road,12.48,2,9
2025-01-01 09:00:00,segment_indirapuram,9.19,2,9
2025-01-01 10:00:00,segment_nh9,61.22,2,10
2025-01-01 10:00:00,segment_gt_road,39.55,2,10
2025-01-01 10:00:00,segment_indirapuram,21.33,2,10
2025-01-01 11:00:00,segment_nh9,64.82,2,11
2025-01-01 11:00:00,segment_gt_road,34.75,2,11
2025-01-01 11:00:00,segment_indirapuram,22.51,2,11
2025-01-01 12:00:00,segment_nh9,56.68,2,12
2025-01-01 12:00:00,segment_gt_road,32.7,2,12
2025-01-01 12:00:00,segment_indirapuram,23.37,2,12
2025-01-01 13:00:00,segment_nh9,59.4,2,13
2025-01-01 13:00:00,segment_gt_road,39.4,2,13
2025-01-01 13:00:00,segment_indirapuram,26.75,2,13
2025-01-01 14:00:00,segment_nh9,57.97,2,14
2025-01-01 14:00:00,segment_gt_road,33.31,2,14
