timestamp,road_segment_id,weather,average_speed_kph,day_of_week,hour_of_day
2025-01-01 00:00:00,segment_nh9,Haze,63.16,2,0
2025-01-01 00:00:00,segment_gt_road,Haze,42.91,2,0
2025-01-01 00:00:00,segment_indirapuram,Haze,41.83,2,0
2025-01-01 01:00:00,segment_nh9,Clear,73.96,2,1
2025-01-01 01:00:00,segment_gt_road,Clear,49.22,2,1
2025-01-01 01:00:00,segment_indirapuram,Clear,40.26,2,1
2025-01-01 02:00:00,segment_nh9,Clouds,79.75,2,2
2025-01-01 02:00:00,segment_gt_road,Clouds,47.31,2,2
2025-01-01 02:00:00,segment_indirapuram,Clouds,42.45,2,2
2025-01-01 03:00:00,segment_nh9,Clouds,69.66,2,3
2025-01-01 03:00:00,segment_gt_road,Clouds,51.3,2,3
2025-01-01 03:00:00,segment_indirapuram,Clouds,40.62,2,3
2025-01-01 04:00:00,segment_nh9,Clear,76.08,2,4
2025-01-01 04:00:00,segment_gt_road,Clear,49.66,2,4
2025-01-01 04:00:00,segment_indirapuram,Clear,40.74,2,4
2025-01-01 05:00:00,segment_nh9,Clear,85.42,2,5
2025-01-01 05:00:00,segment_gt_road,Clear,55.87,2,5
2025-01-01 05:00:00,segment_indirapuram,Clear,41.54,2,5
2025-01-01 06:00:00,segment_nh9,Haze,67.11,2,6
2025-01-01 06:00:00,segment_gt_road,Haze,52.97,2,6
2025-01-01 06:00:00,segment_indirapuram,Haze,39.04,2,6
2025-01-01 07:00:00,segment_nh9,Fog,10.16,2,7
2025-01-01 07:00:00,segment_gt_road,Fog,8.95,2,7
2025-01-01 07:00:00,segment_indirapuram,Fog,5,2,7
2025-01-01 08:00:00,segment_nh9,Clear,24.34,2,8
2025-01-01 08:00:00,segment_gt_road,Clear,16.47,2,8
2025-01-01 08:00:00,segment_indirapuram,Clear,11.04,2,8
2025-01-01 09:00:00,segment_nh9,Clear,19.79,2,9
2025-01-01 09:00:00,segment_gt_road,Clear,15.68,2,9
2025-01-01 09:00:00,segment_indirapuram,Clear,8.96,2,9
2025-01-01 10:00:00,segment_nh9,Rain,44.18,2,10
2025-01-01 10:00:00,segment_gt_road,Rain,28.11,2,10
2025-01-01 10:00:00,segment_indirapuram,Rain,17.55,2,10
2025-01-01 11:00:00,segment_nh9,Clear,64.82,2,11
2025-01-01 11:00:00,segment_gt_road,Clear,33.49,2,11
2025-01-01 11:00:00,segment_indirapuram,Clear,26.36,2,11
2025-01-01 12:00:00,segment_nh9,Clouds,53.37,2,12
2025-01-01 12:00:00,segment_gt_road,Clouds,31.55,2,12
2025-01-01 12:00:00,segment_indirapuram,Clouds,22.7,2,12
2025-01-01 13:00:00,segment_nh9,Clear,56.0,2,13
2025-01-01 13:00:00,segment_gt_road,Clear,35.17,2,13
2025-01-01 13:00:00,segment_indirapuram,Clear,28.06,2,13
2025-01-01 14:00:00,segment_nh9,Haze,51.63,2,14
2025-01-01 14:00:00,segment_gt_road,Haze,29.85,2,14
2025-01-01 14:00:00,segment_indirapuram,Haze,21.36,2,14
2025-01-01 15:00:00,segment_nh9,Clear,62.0,2,15
2025-01-01 15:00:00,segment_gt_road,Clear,30.15,2,15
2025-01-01 15:00:00,segment_indirapuram,Clear,22.24,2,15
2025-01-01 16:00:00,segment_nh9,Clouds,56.32,2,16
2025-01-01 16:00:00,segment_gt_road,Clouds,30.79,2,16
2025-01-01 16:00:00,segment_indirapuram,Clouds,25.48,2,16
2025-01-01 17:00:00,segment_nh9,Clear,28.82,2,17
2025-01-01 17:00:00,segment_gt_road,Clear,13.73,2,17
2025-01-01 17:00:00,segment_indirapuram,Clear,10.92,2,17
2025-01-01 18:00:00,segment_nh9,Rain,15.26,2,18
2025-01-01 18:00:00,segment_gt_road,Rain,11.44,2,18
2025-01-01 18:00:00,segment_indirapuram,Rain,7.07,2,18
2025-01-01 19:00:00,segment_nh9,Fog,14.88,2,19
2025-01-01 19:00:00,segment_gt_road,Fog,7.94,2,19
2025-01-01 19:00:00,segment_indirapuram,Fog,5.44,2,19
2025-01-01 20:00:00,segment_nh9,Clear,82.98,2,20
2025-01-01 20:00:00,segment_gt_road,Clear,59.19,2,20
2025-01-01 20:00:00,segment_indirapuram,Clear,39.56,2,20
2025-01-01 21:00:00,segment_nh9,Haze,74.38,2,21
2025-01-01 21:00:00,segment_gt_road,Haze,49.0,2,21
2025-01-01 21:00:00,segment_indirapuram,Haze,37.87,2,21
2025-01-01 22:00:00,segment_nh9,Clouds,77.2,2,22
2025-01-01 22:00:00,segment_gt_road,Clouds,47.23,2,22
2025-01-01 22:00:00,segment_indirapuram,Clouds,34.45,2,22
2025-01-01 23:00:00,segment_nh9,Fog,40.18,2,23
2025-01-01 23:00:00,segment_gt_road,Fog,24.75,2,23
2025-01-01 23:00:00,segment_indirapuram,Fog,20.49,2,23
2025-01-02 00:00:00,segment_nh9,Clear,80.0,3,0
2025-01-02 00:00:00,segment_gt_road,Clear,55.19,3,0
2025-01-02 00:00:00,segment_indirapuram,Clear,39.42,3,0
2025-01-02 01:00:00,segment_nh9,Rain,58.97,3,1
2025-01-02 01:00:00,segment_gt_road,Rain,30.72,3,1
2025-01-02 01:00:00,segment_indirapuram,Rain,30.3,3,1
2025-01-02 02:00:00,segment_nh9,Clouds,66.39,3,2
2025-01-02 02:00:00,segment_gt_road,Clouds,47.72,3,2
2025-01-02 02:00:00,segment_indirapuram,Clouds,35.5,3,2
2025-01-02 03:00:00,segment_nh9,Clear,71.82,3,3
2025-01-02 03:00:00,segment_gt_road,Clear,48.12,3,3
2025-01-02 03:00:00,segment_indirapuram,Clear,39.76,3,3
2025-01-02 04:00:00,segment_nh9,Rain,62.83,3,4
2025-01-02 04:00:00,segment_gt_road,Rain,29.42,3,4
2025-01-02 04:00:00,segment_indirapuram,Rain,28.92,3,4
2025-01-02 05:00:00,segment_nh9,Rain,59.51,3,5
2025-01-02 05:00:00,segment_gt_road,Rain,34.19,3,5
2025-01-02 05:00:00,segment_indirapuram,Rain,23.82,3,5
2025-01-02 06:00:00,segment_nh9,Clouds,73.71,3,6
2025-01-02 06:00:00,segment_gt_road,Clouds,55.23,3,6
2025-01-02 06:00:00,segment_indirapuram,Clouds,41.86,3,6
2025-01-02 07:00:00,segment_nh9,Clouds,20.76,3,7
2025-01-02 07:00:00,segment_gt_road,Clouds,11.45,3,7
2025-01-02 07:00:00,segment_indirapuram,Clouds,9.08,3,7
2025-01-02 08:00:00,segment_nh9,Clear,26.77,3,8
2025-01-02 08:00:00,segment_gt_road,Clear,13.08,3,8
2025-01-02 08:00:00,segment_indirapuram,Clear,9.2,3,8
2025-01-02 09:00:00,segment_nh9,Clear,21.87,3,9
2025-01-02 09:00:00,segment_gt_road,Clear,14.8,3,9
2025-01-02 09:00:00,segment_indirapuram,Clear,9.95,3,9
2025-01-02 10:00:00,segment_nh9,Rain,42.9,3,10
2025-01-02 10:00:00,segment_gt_road,Rain,25.77,3,10
2025-01-02 10:00:00,segment_indirapuram,Rain,16.9,3,10
2025-01-02 11:00:00,segment_nh9,Clear,63.26,3,11
2025-01-02 11:00:00,segment_gt_road,Clear,30.85,3,11
2025-01-02 11:00:00,segment_indirapuram,Clear,27.45,3,11
2025-01-02 12:00:00,segment_nh9,Clouds,56.7,3,12
2025-01-02 12:00:00,segment_gt_road,Clouds,29.46,3,12
2025-01-02 12:00:00,segment_indirapuram,Clouds,24.63,3,12
2025-01-02 13:00:00,segment_nh9,Clouds,63.34,3,13
2025-01-02 13:00:00,segment_gt_road,Clouds,31.06,3,13
2025-01-02 13:00:00,segment_indirapuram,Clouds,22.71,3,13
2025-01-02 14:00:00,segment_nh9,Clouds,59.52,3,14
2025-01-02 14:00:00,segment_gt_road,Clouds,34.55,3,14
2025-01-02 14:00:00,segment_indirapuram,Clouds,23.3,3,14
2025-01-02 15:00:00,segment_nh9,Haze,45.37,3,15
2025-01-02 15:00:00,segment_gt_road,Haze,35.56,3,15
2025-01-02 15:00:00,segment_indirapuram,Haze,20.42,3,15
2025-01-02 16:00:00,segment_nh9,Clear,55.43,3,16
2025-01-02 16:00:00,segment_gt_road,Clear,37.71,3,16
2025-01-02 16:00:00,segment_indirapuram,Clear,26.22,3,16
2025-01-02 17:00:00,segment_nh9,Haze,21.79,3,17
2025-01-02 17:00:00,segment_gt_road,Haze,11.75,3,17
2025-01-02 17:00:00,segment_indirapuram,Haze,8.14,3,17
2025-01-02 18:00:00,segment_nh9,Clouds,24.63,3,18
2025-01-02 18:00:00,segment_gt_road,Clouds,15.64,3,18
2025-01-02 18:00:00,segment_indirapuram,Clouds,10.28,3,18
2025-01-02 19:00:00,segment_nh9,Haze,24.36,3,19
2025-01-02 19:00:00,segment_gt_road,Haze,12.15,3,19
2025-01-02 19:00:00,segment_indirapuram,Haze,9.12,3,19
2025-01-02 20:00:00,segment_nh9,Clear,79.23,3,20
2025-01-02 20:00:00,segment_gt_road,Clear,43.16,3,20
2025-01-02 20:00:00,segment_indirapuram,Clear,37.09,3,20
2025-01-02 21:00:00,segment_nh9,Clouds,82.3,3,21
2025-01-02 21:00:00,segment_gt_road,Clouds,51.33,3,21
2025-01-02 21:00:00,segment_indirapuram,Clouds,38.24,3,21
2025-01-02 22:00:00,segment_nh9,Clouds,80.97,3,22
2025-01-02 22:00:00,segment_gt_road,Clouds,49.59,3,22
2025-01-02 22:00:00,segment_indirapuram,Clouds,39.52,3,22
2025-01-02 23:00:00,segment_nh9,Haze,68.88,3,23
2025-01-02 23:00:00,segment_gt_road,Haze,40.85,3,23
2025-01-02 23:00:00,segment_indirapuram,Haze,33.25,3,23
2025-01-03 00:00:00,segment_nh9,Clear,73.88,4,0
2025-01-03 00:00:00,segment_gt_road,Clear,57.68,4,0
2025-01-03 00:00:00,segment_indirapuram,Clear,44.93,4,0
2025-01-03 01:00:00,segment_nh9,Clear,74.22,4,1
2025-01-03 01:00:00,segment_gt_road,Clear,49.13,4,1
2025-01-03 01:00:00,segment_indirapuram,Clear,40.54,4,1
2025-01-03 02:00:00,segment_nh9,Clouds,64.78,4,2
2025-01-03 02:00:00,segment_gt_road,Clouds,43.64,4,2
2025-01-03 02:00:00,segment_indirapuram,Clouds,40.15,4,2
2025-01-03 03:00:00,segment_nh9,Clear,87.93,4,3
2025-01-03 03:00:00,segment_gt_road,Clear,50.79,4,3
2025-01-03 03:00:00,segment_indirapuram,Clear,35.72,4,3
2025-01-03 04:00:00,segment_nh9,Haze,71.59,4,4
2025-01-03 04:00:00,segment_gt_road,Haze,39.38,4,4
2025-01-03 04:00:00,segment_indirapuram,Haze,37.86,4,4
2025-01-03 05:00:00,segment_nh9,Clear,85.38,4,5
2025-01-03 05:00:00,segment_gt_road,Clear,51.87,4,5
2025-01-03 05:00:00,segment_indirapuram,Clear,37.49,4,5
2025-01-03 06:00:00,segment_nh9,Clear,68.85,4,6
